TSN,FormID,FoliageID,ScientificName,CrownShapeFactor,FlammID,PDFoliage,PDWood,PDRotten,TreeBD,SV,treeBioEqID,shrubBioEqID,treeCrownDensity,HCFoliage,HCWood,canopy,shrub,nonwoody,woody,acceptedTSN,CommonName
23571,2,7,Vaccinium spp.,0.5,1,25.0,25.0,18.72,0.01,3000.0,3.0,10.0,0.6,8000.0,8000.0,1,1,0,1,0,blueberry
23573,2,4,Vaccinium corymbosum,0.5,1,25.0,21.85,18.72,0.01,2500.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,highbush blueberry
23574,2,7,Vaccinium uliginosum,0.5,2,25.0,21.85,18.72,0.01,3000.0,,8.0,0.6,8000.0,8000.0,0,1,0,1,0,bog blueberry
23576,2,4,Vaccinium alaskaense,0.5,1,25.0,25.0,18.72,0.01,2500.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,2360,Alaska blueberry
23579,2,4,Vaccinium angustifolium,0.5,1,25.0,21.85,18.72,0.01,2500.0,,7.0,0.6,8000.0,8000.0,0,1,1,1,0,lowbush blueberry
23580,3,5,Vaccinium arboreum,0.5,1,25.0,21.85,18.72,0.01,2500.0,3.0,27.0,0.6,8000.0,8000.0,1,1,0,1,0,farkleberry
23587,2,7,Vaccinium cespitosum,0.5,2,25.0,21.85,18.72,0.01,3000.0,,8.0,0.6,8000.0,8000.0,0,1,0,1,0,dwarf bilberry
23589,2,7,Vaccinium crassifolium,0.5,2,25.0,21.85,18.72,0.01,3000.0,,24.0,0.6,8000.0,8000.0,0,1,0,1,0,creeping blueberry
23591,2,4,Vaccinium deliciosum,0.5,1,25.0,21.85,18.72,0.01,2500.0,,7.0,0.6,8000.0,8000.0,0,1,0,1,0,Cascade bilberry
23592,2,7,Vaccinium elliottii,0.5,2,25.0,21.85,18.72,0.01,3000.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,Elliott's blueberry
23593,2,4,Vaccinium erythrocarpum,0.5,1,25.0,21.85,18.72,0.01,2500.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,southern mountain cranberry
